epoch,train_loss,val_macro_f1,val_roc_auc,val_threshold
1,0.6804500330578197,0.8798076923076923,0.9652,0.5300000000000001
2,0.6452542055736888,0.92,0.9704,0.5300000000000001
3,0.5760981711474332,0.9499949994999499,0.9788,0.6100000000000001
4,0.4889862158081748,0.96,0.9768,0.6300000000000001
5,0.41830532117323443,0.96,0.9772,0.6500000000000001
6,0.3537634313106537,0.96,0.9815999999999998,0.6500000000000001
7,0.2773297998038205,0.96,0.9768,0.6600000000000001
8,0.26812176406383514,0.96999699969997,0.9823999999999999,0.7800000000000001
9,0.25440681793472986,0.96999699969997,0.9828000000000001,0.6900000000000002
10,0.23338025672869248,0.959983993597439,0.9808,0.7600000000000002
11,0.23703145709904758,0.959983993597439,0.9732,0.6600000000000001
12,0.23241578042507172,0.96999699969997,0.9816,0.8000000000000002
13,0.20458863946524533,0.96,0.9772,0.7100000000000002
14,0.21995461799881674,0.96,0.9808,0.6900000000000002
15,0.2555258436636491,0.96,0.978,0.6500000000000001
16,0.18787118047475815,0.96,0.9812000000000001,0.6500000000000001
17,0.20483775436878204,0.96,0.9792000000000001,0.6100000000000001
18,0.22660635953599756,0.96999699969997,0.9803999999999999,0.8000000000000002
19,0.22650152851234784,0.96999699969997,0.9808,0.7700000000000002
20,0.18028732186014002,0.96999699969997,0.9812000000000001,0.7900000000000001
