epoch,train_loss,val_macro_f1,val_roc_auc,val_threshold
1,0.6364274716377258,0.6937059074590144,0.7533000000000001,0.5000000000000001
2,0.5404214477539062,0.77,0.8458,0.5200000000000001
3,0.5051203346252442,0.8449030644152595,0.8991,0.44000000000000006
4,0.4788028120994568,0.83998399839984,0.9121,0.6600000000000001
5,0.4535373103618622,0.8349958748968724,0.9118,0.5400000000000001
6,0.4125572717189789,0.85,0.9193,0.6400000000000001
7,0.40274134516716004,0.8349628666449951,0.9196,0.6900000000000002
8,0.38799073934555056,0.85,0.9181,0.5100000000000001
9,0.3977614080905914,0.84,0.9181999999999999,0.6300000000000001
10,0.3701399087905884,0.8543847756772364,0.9235000000000001,0.44000000000000006
11,0.365471271276474,0.8547057792028858,0.932,0.6200000000000001
12,0.35698121070861816,0.8749718686704508,0.9378000000000001,0.6700000000000002
13,0.3570852482318878,0.8698828946051447,0.9366,0.6000000000000002
14,0.3486562919616699,0.8849741191768148,0.9447,0.5700000000000002
15,0.3547527086734772,0.8748466871918099,0.9439,0.5700000000000002
16,0.3380178868770599,0.8848589522164652,0.9452,0.4100000000000001
17,0.33365788459777834,0.8849971249281232,0.9470000000000001,0.7100000000000002
18,0.32307175040245056,0.8847666524712543,0.9482,0.5700000000000002
19,0.34916398286819456,0.90999099909991,0.9495999999999999,0.5600000000000002
20,0.33293198227882387,0.889823717948718,0.9476,0.7000000000000002
21,0.3215558421611786,0.8899889988998899,0.9479,0.7200000000000002
22,0.31317794263362886,0.88,0.9510000000000001,0.8200000000000002
23,0.3126530694961548,0.90999099909991,0.9544,0.6000000000000002
24,0.31735907077789305,0.8999899989999001,0.953,0.7400000000000002
25,0.3152722191810608,0.9149808706959066,0.956,0.5300000000000001
26,0.2899679344892502,0.9049976249406235,0.9583999999999999,0.7100000000000002
27,0.3114295530319214,0.8948712172411204,0.9545,0.8600000000000002
28,0.3064089930057526,0.8999599839935974,0.9585999999999999,0.8100000000000002
29,0.3088914859294891,0.9049786201895427,0.9559,0.7800000000000001
30,0.2881312745809555,0.8999599839935974,0.9557,0.6800000000000002
31,0.3134587651491165,0.9099189270343309,0.9572,0.5200000000000001
32,0.2728112268447876,0.91,0.9573,0.5900000000000002
33,0.2834932142496109,0.9049976249406235,0.9585,0.6500000000000001
34,0.28411407172679903,0.90999099909991,0.9577,0.7000000000000002
35,0.27442348182201387,0.9,0.9601999999999999,0.7300000000000002
36,0.2870224487781525,0.9048834822657756,0.9586000000000001,0.7800000000000001
37,0.2658554977178574,0.9049786201895427,0.9581999999999999,0.6700000000000002
