clip_id,split,label,q_skel,q_int,q_obj,q_po,valid_ratio
F_0_1_0_0_0_fight_3360_3578_w0,test,1,1.0,0.375,1.0,1.0,1.0
F_0_1_0_0_0_fight_3360_3578_w1,test,1,1.0,1.0,1.0,1.0,1.0
F_0_1_0_0_0_fight_3360_3578_w2,test,1,1.0,1.0,1.0,1.0,1.0
F_0_1_0_0_0_fight_4051_4320_w0,test,1,1.0,1.0,1.0,1.0,1.0
F_0_1_0_0_0_fight_4051_4320_w1,test,1,1.0,1.0,1.0,1.0,1.0
F_0_1_0_0_0_fight_4051_4320_w2,test,1,1.0,1.0,1.0,1.0,1.0
F_0_1_0_0_0_nonfight_0,test,0,1.0,1.0,1.0,1.0,1.0
F_0_1_0_0_0_nonfight_1,test,0,1.0,1.0,1.0,1.0,1.0
F_0_1_0_0_0_nonfight_2,test,0,1.0,1.0,1.0,1.0,1.0
F_0_1_0_0_0_nonfight_3,test,0,1.0,1.0,1.0,1.0,1.0
F_100_1_2_0_0_fight_1920_2012_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_100_1_2_0_0_fight_1920_2012_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_100_1_2_0_0_fight_2400_2712_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_100_1_2_0_0_fight_2400_2712_w1,train,1,1.0,0.8125,1.0,1.0,1.0
F_100_1_2_0_0_fight_2400_2712_w2,train,1,1.0,1.0,1.0,1.0,1.0
F_100_1_2_0_0_fight_2831_2880_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_100_1_2_0_0_fight_3191_3360_w0,train,1,0.4375,0.1875,0.75,0.5625,0.59375
F_100_1_2_0_0_fight_3191_3360_w1,train,1,1.0,0.0,1.0,1.0,1.0
F_100_1_2_0_0_fight_3191_3360_w2,train,1,1.0,1.0,1.0,1.0,1.0
F_100_1_2_0_0_fight_4366_4415_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_100_1_2_0_0_nonfight_0,train,0,1.0,1.0,1.0,1.0,1.0
F_100_1_2_0_0_nonfight_1,train,0,1.0,1.0,1.0,1.0,1.0
F_100_1_2_0_0_nonfight_2,train,0,1.0,1.0,1.0,1.0,1.0
F_100_1_2_0_0_nonfight_3,train,0,1.0,1.0,1.0,1.0,1.0
F_101_1_2_0_0_fight_505_960_w0,val,1,1.0,1.0,1.0,1.0,1.0
