clip_id,video_path,ann_path,label,split,frame_start,frame_end,clip_type,n_ann_frames,window_idx
F_0_1_0_0_0_fight_3360_3578_w0,/data/raw/UBI_FIGHTS/videos/fight/F_0_1_0_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_0_1_0_0_0.csv,1,test,3360,3578,positive,4320,0
F_0_1_0_0_0_fight_3360_3578_w1,/data/raw/UBI_FIGHTS/videos/fight/F_0_1_0_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_0_1_0_0_0.csv,1,test,3360,3578,positive,4320,1
F_0_1_0_0_0_fight_3360_3578_w2,/data/raw/UBI_FIGHTS/videos/fight/F_0_1_0_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_0_1_0_0_0.csv,1,test,3360,3578,positive,4320,2
F_0_1_0_0_0_fight_4051_4320_w0,/data/raw/UBI_FIGHTS/videos/fight/F_0_1_0_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_0_1_0_0_0.csv,1,test,4051,4320,positive,4320,0
F_0_1_0_0_0_fight_4051_4320_w1,/data/raw/UBI_FIGHTS/videos/fight/F_0_1_0_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_0_1_0_0_0.csv,1,test,4051,4320,positive,4320,1
F_0_1_0_0_0_fight_4051_4320_w2,/data/raw/UBI_FIGHTS/videos/fight/F_0_1_0_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_0_1_0_0_0.csv,1,test,4051,4320,positive,4320,2
F_0_1_0_0_0_nonfight_0,/data/raw/UBI_FIGHTS/videos/fight/F_0_1_0_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_0_1_0_0_0.csv,0,test,2603,2635,negative,4320,0
F_0_1_0_0_0_nonfight_1,/data/raw/UBI_FIGHTS/videos/fight/F_0_1_0_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_0_1_0_0_0.csv,0,test,440,472,negative,4320,0
F_0_1_0_0_0_nonfight_2,/data/raw/UBI_FIGHTS/videos/fight/F_0_1_0_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_0_1_0_0_0.csv,0,test,86,118,negative,4320,0
F_0_1_0_0_0_nonfight_3,/data/raw/UBI_FIGHTS/videos/fight/F_0_1_0_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_0_1_0_0_0.csv,0,test,3021,3053,negative,4320,0
F_100_1_2_0_0_fight_1920_2012_w0,/data/raw/UBI_FIGHTS/videos/fight/F_100_1_2_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_100_1_2_0_0.csv,1,train,1920,2012,positive,4800,0
F_100_1_2_0_0_fight_1920_2012_w1,/data/raw/UBI_FIGHTS/videos/fight/F_100_1_2_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_100_1_2_0_0.csv,1,train,1920,2012,positive,4800,1
F_100_1_2_0_0_fight_2400_2712_w0,/data/raw/UBI_FIGHTS/videos/fight/F_100_1_2_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_100_1_2_0_0.csv,1,train,2400,2712,positive,4800,0
F_100_1_2_0_0_fight_2400_2712_w1,/data/raw/UBI_FIGHTS/videos/fight/F_100_1_2_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_100_1_2_0_0.csv,1,train,2400,2712,positive,4800,1
F_100_1_2_0_0_fight_2400_2712_w2,/data/raw/UBI_FIGHTS/videos/fight/F_100_1_2_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_100_1_2_0_0.csv,1,train,2400,2712,positive,4800,2
F_100_1_2_0_0_fight_2831_2880_w0,/data/raw/UBI_FIGHTS/videos/fight/F_100_1_2_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_100_1_2_0_0.csv,1,train,2831,2880,positive,4800,0
F_100_1_2_0_0_fight_3191_3360_w0,/data/raw/UBI_FIGHTS/videos/fight/F_100_1_2_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_100_1_2_0_0.csv,1,train,3191,3360,positive,4800,0
F_100_1_2_0_0_fight_3191_3360_w1,/data/raw/UBI_FIGHTS/videos/fight/F_100_1_2_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_100_1_2_0_0.csv,1,train,3191,3360,positive,4800,1
F_100_1_2_0_0_fight_3191_3360_w2,/data/raw/UBI_FIGHTS/videos/fight/F_100_1_2_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_100_1_2_0_0.csv,1,train,3191,3360,positive,4800,2
F_100_1_2_0_0_fight_4366_4415_w0,/data/raw/UBI_FIGHTS/videos/fight/F_100_1_2_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_100_1_2_0_0.csv,1,train,4366,4415,positive,4800,0
F_100_1_2_0_0_nonfight_0,/data/raw/UBI_FIGHTS/videos/fight/F_100_1_2_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_100_1_2_0_0.csv,0,train,2329,2361,negative,4800,0
F_100_1_2_0_0_nonfight_1,/data/raw/UBI_FIGHTS/videos/fight/F_100_1_2_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_100_1_2_0_0.csv,0,train,2082,2114,negative,4800,0
F_100_1_2_0_0_nonfight_2,/data/raw/UBI_FIGHTS/videos/fight/F_100_1_2_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_100_1_2_0_0.csv,0,train,1812,1844,negative,4800,0
F_100_1_2_0_0_nonfight_3,/data/raw/UBI_FIGHTS/videos/fight/F_100_1_2_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_100_1_2_0_0.csv,0,train,1127,1159,negative,4800,0
F_101_1_2_0_0_fight_505_960_w0,/data/raw/UBI_FIGHTS/videos/fight/F_101_1_2_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_101_1_2_0_0.csv,1,val,505,960,positive,2880,0
F_101_1_2_0_0_fight_505_960_w1,/data/raw/UBI_FIGHTS/videos/fight/F_101_1_2_0_0.mp4,/data/raw/UBI_FIGHTS/annotation/F_101_1_2_0_0.csv,1,val,505,960,positive,2880,1
